price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,age
19500.0,2005.0,ford,4,8,diesel,116000.0,lien,16.0
4900.0,2003.0,ford,3,8,gas,177000.0,clean,18.0
11500.0,2013.0,bmw,4,4,gas,115372.0,clean,8.0
23900.0,2005.0,gmc,3,8,diesel,145970.0,clean,16.0
18900.0,2012.0,chevrolet,3,8,diesel,177450.0,clean,9.0
4900.0,2006.0,bmw,4,6,gas,150000.0,clean,15.0
7995.0,2009.0,honda,4,4,gas,161481.0,clean,12.0
7500.0,2011.0,gmc,4,4,gas,180000.0,clean,10.0
5000.0,2010.0,nissan,4,4,gas,163000.0,clean,11.0
15990.0,2008.0,ram,3,6,diesel,209854.0,clean,13.0
27990.0,2013.0,chevrolet,3,8,gas,103725.0,clean,8.0
30990.0,2012.0,ram,3,6,diesel,109523.0,clean,9.0
24990.0,2012.0,chevrolet,3,8,gas,136363.0,clean,9.0
20990.0,2007.0,chevrolet,3,8,gas,133355.0,clean,14.0
24990.0,2006.0,chevrolet,3,8,gas,104422.0,clean,15.0
27990.0,2011.0,ford,3,8,diesel,147797.0,clean,10.0
17990.0,2014.0,ford,3,8,gas,106913.0,clean,7.0
16990.0,2006.0,chevrolet,3,8,gas,176894.0,clean,15.0
7500.0,2008.0,ford,4,8,gas,174000.0,clean,13.0
4950.0,2003.0,chevrolet,4,8,gas,171140.0,clean,18.0
5750.0,2003.0,toyota,4,4,gas,143411.0,clean,18.0
12999.0,2010.0,ford,4,8,gas,162300.0,clean,11.0
3900.0,2013.0,ford,3,4,gas,174000.0,clean,8.0
4500.0,2007.0,toyota,3,4,gas,174000.0,clean,14.0
2995.0,2005.0,nissan,3,4,gas,168225.0,clean,16.0
8000.0,2015.0,ford,3,4,gas,112000.0,clean,6.0
22000.0,2008.0,chevrolet,5,8,gas,156000.0,clean,13.0
2800.0,2002.0,ford,3,6,gas,206000.0,clean,19.0
5000.0,2010.0,mazda,3,4,gas,140854.0,rebuilt,11.0
4800.0,2009.0,dodge,4,4,gas,150000.0,clean,12.0
3200.0,2002.0,chevrolet,3,6,gas,160000.0,clean,19.0
2800.0,2003.0,toyota,3,4,gas,170000.0,clean,18.0
4200.0,2007.0,honda,3,6,gas,195000.0,clean,14.0
3400.0,2008.0,ford,3,4,gas,197000.0,clean,13.0
25900.0,2013.0,toyota,3,8,gas,107690.0,clean,8.0
7500.0,2013.0,ford,3,6,gas,175837.0,clean,8.0
9900.0,2014.0,toyota,4,4,gas,105695.0,clean,7.0
10500.0,2005.0,gmc,3,8,gas,224000.0,clean,16.0
4300.0,2010.0,ford,3,6,gas,129000.0,clean,11.0
19900.0,2013.0,gmc,3,8,gas,105487.0,clean,8.0
21900.0,2015.0,ford,3,6,gas,110602.0,clean,6.0
2800.0,2006.0,chevrolet,3,6,gas,180000.0,clean,15.0
4200.0,2008.0,cadillac,3,8,gas,160000.0,clean,13.0
3950.0,2007.0,chrysler,4,6,gas,216000.0,clean,14.0
7990.0,2008.0,honda,4,6,gas,119000.0,clean,13.0
11990.0,2010.0,lexus,4,6,gas,116240.0,clean,11.0
7990.0,2007.0,toyota,4,4,gas,111269.0,clean,14.0
9990.0,2013.0,toyota,4,4,hybrid,111000.0,clean,8.0
6500.0,2003.0,lexus,4,6,gas,198000.0,clean,18.0
5600.0,2007.0,honda,3,6,gas,172250.0,clean,14.0
3500.0,2004.0,toyota,3,4,gas,188900.0,clean,17.0
10995.0,2012.0,ford,4,6,gas,175749.0,clean,9.0
14980.0,2008.0,chevrolet,3,8,gas,134982.0,clean,13.0
17500.0,2012.0,lexus,3,8,gas,143651.0,clean,9.0
17480.0,2007.0,toyota,3,6,gas,149370.0,clean,14.0
12250.0,2001.0,toyota,3,4,gas,141443.0,clean,20.0
16980.0,2008.0,chevrolet,3,8,gas,119582.0,clean,13.0
14995.0,2008.0,ford,3,8,gas,173323.0,clean,13.0
4980.0,2005.0,dodge,3,8,gas,214146.0,clean,16.0
17980.0,2008.0,chevrolet,3,8,gas,107924.0,clean,13.0
15980.0,2006.0,toyota,3,6,gas,178957.0,clean,15.0
9980.0,2008.0,toyota,3,6,gas,149063.0,clean,13.0
12980.0,2008.0,toyota,3,6,gas,153035.0,clean,13.0
12980.0,2000.0,toyota,3,6,gas,121323.0,clean,21.0
7980.0,2008.0,honda,3,4,gas,180773.0,clean,13.0
8480.0,2007.0,toyota,3,6,gas,188294.0,clean,14.0
8980.0,2007.0,mazda,3,4,gas,115534.0,clean,14.0
5980.0,2008.0,ford,3,6,gas,120973.0,clean,13.0
2980.0,2006.0,ford,3,4,gas,139921.0,clean,15.0
7850.0,2005.0,mazda,3,4,gas,139896.0,clean,16.0
2480.0,2004.0,nissan,3,6,gas,133231.0,clean,17.0
6450.0,2008.0,nissan,3,4,gas,113365.0,clean,13.0
22500.0,2011.0,toyota,3,6,gas,109234.0,clean,10.0
1200.0,2002.0,volkswagen,3,4,gas,141235.0,clean,19.0
12499.0,2013.0,ford,4,8,gas,100840.0,clean,8.0
17500.0,2012.0,lexus,3,8,gas,143651.0,clean,9.0
5980.0,2012.0,ford,3,6,gas,100194.0,clean,9.0
14980.0,2008.0,chevrolet,3,8,gas,134982.0,clean,13.0
9980.0,2008.0,toyota,3,6,gas,149063.0,clean,13.0
6450.0,2008.0,nissan,3,4,gas,113365.0,clean,13.0
5980.0,2008.0,ford,3,6,gas,120973.0,clean,13.0
12980.0,2000.0,toyota,3,6,gas,121323.0,clean,21.0
7980.0,2008.0,honda,3,4,gas,180773.0,clean,13.0
16980.0,2008.0,chevrolet,3,8,gas,119582.0,clean,13.0
17980.0,2008.0,chevrolet,3,8,gas,107924.0,clean,13.0
8950.0,2010.0,honda,4,4,gas,136381.0,clean,11.0
23900.0,2015.0,toyota,3,6,gas,158045.0,clean,6.0
4200.0,2009.0,jeep,3,6,gas,158000.0,clean,12.0
14950.0,2014.0,ford,3,8,gas,165669.0,clean,7.0
7800.0,2013.0,infiniti,4,6,gas,154000.0,clean,8.0
14900.0,2012.0,chevrolet,3,8,diesel,173000.0,clean,9.0
15950.0,2011.0,chevrolet,4,8,gas,137656.0,clean,10.0
18500.0,2012.0,jeep,4,6,gas,107530.0,clean,9.0
11500.0,2004.0,jeep,4,6,gas,212348.0,clean,17.0
21950.0,2014.0,jeep,4,6,gas,132865.0,clean,7.0
12950.0,2011.0,mazda,4,4,gas,138235.0,clean,10.0
4500.0,1997.0,lexus,5,8,gas,169000.0,clean,24.0
3000.0,2012.0,honda,4,4,gas,121501.0,clean,9.0
18900.0,2015.0,ford,3,6,gas,112165.0,clean,6.0
18995.0,2008.0,chevrolet,4,8,diesel,207581.0,clean,13.0
13900.0,2008.0,mercedes-benz,3,8,gas,147000.0,clean,13.0
10500.0,2009.0,cadillac,3,8,gas,168000.0,clean,12.0
5500.0,2013.0,mazda,4,4,gas,148000.0,clean,8.0
6900.0,2010.0,hyundai,3,4,gas,162805.0,clean,11.0
7900.0,2012.0,honda,3,4,gas,120281.0,clean,9.0
35000.0,2005.0,lexus,4,8,gas,106000.0,clean,16.0
4500.0,2008.0,dodge,4,8,gas,190000.0,clean,13.0
3800.0,2007.0,volkswagen,4,4,gas,170000.0,clean,14.0
4200.0,2008.0,ford,4,6,gas,115000.0,clean,13.0
10500.0,2004.0,pontiac,3,8,gas,120500.0,clean,17.0
1003.0,2001.0,honda,4,6,gas,103000.0,clean,20.0
11999.0,2012.0,chevrolet,5,6,gas,132000.0,clean,9.0
6000.0,2012.0,kia,3,6,gas,146747.0,clean,9.0
26990.0,2013.0,ford,3,8,diesel,177830.0,clean,8.0
17990.0,2013.0,chevrolet,3,8,gas,174100.0,clean,8.0
24990.0,2006.0,chevrolet,3,8,gas,110932.0,clean,15.0
9000.0,2011.0,toyota,3,6,gas,213000.0,clean,10.0
14888.0,2013.0,bmw,3,6,gas,133216.0,clean,8.0
6500.0,2010.0,nissan,5,6,gas,150000.0,clean,11.0
2800.0,2000.0,nissan,4,4,gas,133468.0,clean,21.0
9500.0,2005.0,ford,3,8,gas,152000.0,clean,16.0
8900.0,2011.0,ford,3,6,gas,138235.0,clean,10.0
9500.0,2014.0,toyota,3,4,gas,136128.0,clean,7.0
12900.0,2014.0,nissan,3,4,gas,120211.0,clean,7.0
9950.0,2006.0,mercedes-benz,3,8,gas,169774.0,clean,15.0
14888.0,2013.0,bmw,3,6,gas,133216.0,clean,8.0
1200.0,2005.0,hyundai,2,4,gas,186491.0,clean,16.0
7900.0,2008.0,honda,4,6,gas,167000.0,clean,13.0
4500.0,2012.0,toyota,3,4,hybrid,150427.0,clean,9.0
6200.0,2011.0,nissan,4,4,gas,132000.0,clean,10.0
9033.0,2004.0,nissan,5,8,gas,200000.0,clean,17.0
7900.0,2007.0,nissan,3,8,gas,160043.0,clean,14.0
10000.0,2006.0,ford,3,8,gas,124000.0,clean,15.0
8900.0,2012.0,honda,3,6,gas,128904.0,clean,9.0
12990.0,2015.0,hyundai,3,6,gas,137640.0,clean,6.0
5900.0,2008.0,lincoln,3,6,gas,150328.0,clean,13.0
8600.0,2003.0,chevrolet,3,8,gas,223152.0,clean,18.0
